nohup: ignoring input
1
      From worker 2:	Running on 1 Julia thread(s) [BLAS threads: 1]
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 105/5000 took 55.89s | ETA 10:40:32 | ∑L 0.031525888 | Lₜᵣ 0.031422168 | Lᵣ 0.0001037192 | Dₛₜₛₚ (GMM) 1.716 | Dₕ 0.375 | PE(20) 0.9914906 | α 0.623 | cond(B) 3.675 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 110/5000 took 55.84s | ETA 09:55:31 | ∑L 0.03187443 | Lₜᵣ 0.031766973 | Lᵣ 0.00010745644 | Dₛₜₛₚ (GMM) 1.954 | Dₕ 0.395 | PE(20) 1.0038766 | α 0.631 | cond(B) 3.625 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 115/5000 took 56.1s | ETA 09:17:52 | ∑L 0.030681893 | Lₜᵣ 0.030570824 | Lᵣ 0.00011106941 | Dₛₜₛₚ (GMM) 1.833 | Dₕ 0.384 | PE(20) 1.0043633 | α 0.636 | cond(B) 3.582 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 120/5000 took 56.38s | ETA 08:43:37 | ∑L 0.033359125 | Lₜᵣ 0.03324455 | Lᵣ 0.000114576156 | Dₛₜₛₚ (GMM) 1.849 | Dₕ 0.364 | PE(20) 1.0247828 | α 0.643 | cond(B) 3.545 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 125/5000 took 56.02s | ETA 08:02:19 | ∑L 0.030442264 | Lₜᵣ 0.030324262 | Lᵣ 0.0001180018 | Dₛₜₛₚ (GMM) 1.958 | Dₕ 0.376 | PE(20) 1.0341067 | α 0.648 | cond(B) 3.512 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 130/5000 took 55.75s | ETA 07:26:27 | ∑L 0.031062478 | Lₜᵣ 0.030941209 | Lᵣ 0.00012126884 | Dₛₜₛₚ (GMM) 2.01 | Dₕ 0.366 | PE(20) 1.0500513 | α 0.654 | cond(B) 3.49 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 135/5000 took 55.95s | ETA 07:02:00 | ∑L 0.03164451 | Lₜᵣ 0.031520016 | Lᵣ 0.00012449062 | Dₛₜₛₚ (GMM) 1.949 | Dₕ 0.366 | PE(20) 1.0532905 | α 0.659 | cond(B) 3.469 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 140/5000 took 56.46s | ETA 06:43:44 | ∑L 0.030247042 | Lₜᵣ 0.030119475 | Lᵣ 0.00012756741 | Dₛₜₛₚ (GMM) 1.483 | Dₕ 0.365 | PE(20) 1.0445709 | α 0.662 | cond(B) 3.454 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 145/5000 took 54.73s | ETA 05:51:54 | ∑L 0.029316315 | Lₜᵣ 0.029185735 | Lᵣ 0.00013058148 | Dₛₜₛₚ (GMM) 1.683 | Dₕ 0.383 | PE(20) 1.0637401 | α 0.668 | cond(B) 3.44 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 150/5000 took 56.06s | ETA 05:51:13 | ∑L 0.02890581 | Lₜᵣ 0.028772429 | Lᵣ 0.00013338198 | Dₛₜₛₚ (GMM) 1.819 | Dₕ 0.373 | PE(20) 1.0685393 | α 0.671 | cond(B) 3.431 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 155/5000 took 56.39s | ETA 05:36:45 | ∑L 0.030839989 | Lₜᵣ 0.030703876 | Lᵣ 0.00013611242 | Dₛₜₛₚ (GMM) 1.833 | Dₕ 0.372 | PE(20) 1.0737498 | α 0.675 | cond(B) 3.42 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 160/5000 took 55.13s | ETA 04:59:50 | ∑L 0.026739687 | Lₜᵣ 0.026600897 | Lᵣ 0.00013878981 | Dₛₜₛₚ (GMM) 1.908 | Dₕ 0.366 | PE(20) 1.0884829 | α 0.678 | cond(B) 3.417 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 165/5000 took 55.89s | ETA 04:54:10 | ∑L 0.025564274 | Lₜᵣ 0.02542286 | Lᵣ 0.00014141358 | Dₛₜₛₚ (GMM) 1.895 | Dₕ 0.375 | PE(20) 1.075599 | α 0.683 | cond(B) 3.415 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 170/5000 took 55.71s | ETA 04:34:49 | ∑L 0.027694967 | Lₜᵣ 0.027551096 | Lᵣ 0.00014387128 | Dₛₜₛₚ (GMM) 1.58 | Dₕ 0.37 | PE(20) 1.0916175 | α 0.685 | cond(B) 3.423 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 175/5000 took 56.45s | ETA 04:30:05 | ∑L 0.028528873 | Lₜᵣ 0.028382678 | Lᵣ 0.0001461957 | Dₛₜₛₚ (GMM) 1.695 | Dₕ 0.361 | PE(20) 1.0875797 | α 0.689 | cond(B) 3.435 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 180/5000 took 54.52s | ETA 03:44:50 | ∑L 0.029036134 | Lₜᵣ 0.028887663 | Lᵣ 0.000148472 | Dₛₜₛₚ (GMM) 1.741 | Dₕ 0.373 | PE(20) 1.1021235 | α 0.692 | cond(B) 3.451 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 185/5000 took 55.65s | ETA 03:49:34 | ∑L 0.027311964 | Lₜᵣ 0.027161421 | Lᵣ 0.0001505425 | Dₛₜₛₚ (GMM) 1.478 | Dₕ 0.361 | PE(20) 1.0975486 | α 0.694 | cond(B) 3.475 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 190/5000 took 56.01s | ETA 03:44:02 | ∑L 0.029070377 | Lₜᵣ 0.028917793 | Lᵣ 0.00015258334 | Dₛₜₛₚ (GMM) 1.694 | Dₕ 0.377 | PE(20) 1.1421412 | α 0.697 | cond(B) 3.498 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 195/5000 took 55.95s | ETA 03:32:50 | ∑L 0.030196292 | Lₜᵣ 0.030041758 | Lᵣ 0.00015453441 | Dₛₜₛₚ (GMM) 1.781 | Dₕ 0.369 | PE(20) 1.1102399 | α 0.7 | cond(B) 3.525 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 200/5000 took 55.83s | ETA 03:20:10 | ∑L 0.028595923 | Lₜᵣ 0.028439403 | Lᵣ 0.00015651993 | Dₛₜₛₚ (GMM) 1.648 | Dₕ 0.334 | PE(20) 1.1247482 | α 0.702 | cond(B) 3.557 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 205/5000 took 55.45s | ETA 03:05:52 | ∑L 0.02819883 | Lₜᵣ 0.028040404 | Lᵣ 0.00015842672 | Dₛₜₛₚ (GMM) 1.742 | Dₕ 0.36 | PE(20) 1.1186436 | α 0.705 | cond(B) 3.594 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 210/5000 took 55.4s | ETA 02:54:43 | ∑L 0.027237752 | Lₜᵣ 0.027077576 | Lᵣ 0.00016017664 | Dₛₜₛₚ (GMM) 1.485 | Dₕ 0.358 | PE(20) 1.1261338 | α 0.706 | cond(B) 3.634 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 215/5000 took 56.33s | ETA 03:00:19 | ∑L 0.02724986 | Lₜᵣ 0.027087985 | Lᵣ 0.00016187533 | Dₛₜₛₚ (GMM) 1.846 | Dₕ 0.381 | PE(20) 1.1352426 | α 0.709 | cond(B) 3.673 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 220/5000 took 55.79s | ETA 02:42:38 | ∑L 0.028751992 | Lₜᵣ 0.028588513 | Lᵣ 0.00016347913 | Dₛₜₛₚ (GMM) 1.528 | Dₕ 0.397 | PE(20) 1.125934 | α 0.711 | cond(B) 3.712 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 225/5000 took 55.84s | ETA 02:33:59 | ∑L 0.027297456 | Lₜᵣ 0.02713238 | Lᵣ 0.0001650744 | Dₛₜₛₚ (GMM) 1.966 | Dₕ 0.381 | PE(20) 1.1309589 | α 0.713 | cond(B) 3.747 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 230/5000 took 56.41s | ETA 02:37:12 | ∑L 0.027642054 | Lₜᵣ 0.027475435 | Lᵣ 0.00016661851 | Dₛₜₛₚ (GMM) 1.685 | Dₕ 0.37 | PE(20) 1.1232873 | α 0.715 | cond(B) 3.786 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 235/5000 took 55.78s | ETA 02:21:03 | ∑L 0.028873213 | Lₜᵣ 0.028705096 | Lᵣ 0.00016811669 | Dₛₜₛₚ (GMM) 1.723 | Dₕ 0.357 | PE(20) 1.1115423 | α 0.717 | cond(B) 3.872 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 240/5000 took 56.23s | ETA 02:21:27 | ∑L 0.027605161 | Lₜᵣ 0.027435638 | Lᵣ 0.00016952323 | Dₛₜₛₚ (GMM) 1.681 | Dₕ 0.387 | PE(20) 1.1487393 | α 0.717 | cond(B) 3.9 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 245/5000 took 55.93s | ETA 02:12:20 | ∑L 0.02678172 | Lₜᵣ 0.026610874 | Lᵣ 0.0001708447 | Dₛₜₛₚ (GMM) 1.959 | Dₕ 0.353 | PE(20) 1.138574 | α 0.719 | cond(B) 3.921 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 250/5000 took 56.43s | ETA 02:14:35 | ∑L 0.026016615 | Lₜᵣ 0.02584456 | Lᵣ 0.00017205611 | Dₛₜₛₚ (GMM) 1.306 | Dₕ 0.351 | PE(20) 1.131159 | α 0.721 | cond(B) 3.958 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 255/5000 took 56.19s | ETA 02:04:23 | ∑L 0.027471513 | Lₜᵣ 0.027298108 | Lᵣ 0.00017340448 | Dₛₜₛₚ (GMM) 1.815 | Dₕ 0.365 | PE(20) 1.1463921 | α 0.723 | cond(B) 4.0 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 260/5000 took 56.1s | ETA 01:58:52 | ∑L 0.029344173 | Lₜᵣ 0.029169502 | Lᵣ 0.00017467146 | Dₛₜₛₚ (GMM) 1.829 | Dₕ 0.37 | PE(20) 1.1370327 | α 0.725 | cond(B) 4.038 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 265/5000 took 55.59s | ETA 01:43:44 | ∑L 0.029747827 | Lₜᵣ 0.029571924 | Lᵣ 0.00017590237 | Dₛₜₛₚ (GMM) 1.9 | Dₕ 0.388 | PE(20) 1.1570029 | α 0.727 | cond(B) 4.093 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 270/5000 took 55.39s | ETA 01:33:28 | ∑L 0.0266321 | Lₜᵣ 0.026454892 | Lᵣ 0.00017720798 | Dₛₜₛₚ (GMM) 1.388 | Dₕ 0.367 | PE(20) 1.139849 | α 0.727 | cond(B) 4.458 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 275/5000 took 56.11s | ETA 01:37:55 | ∑L 0.027947856 | Lₜᵣ 0.027769562 | Lᵣ 0.00017829338 | Dₛₜₛₚ (GMM) 1.395 | Dₕ 0.369 | PE(20) 1.1481248 | α 0.729 | cond(B) 4.277 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 280/5000 took 55.09s | ETA 01:14:43 | ∑L 0.029746225 | Lₜᵣ 0.029566739 | Lᵣ 0.00017948714 | Dₛₜₛₚ (GMM) 1.58 | Dₕ 0.372 | PE(20) 1.137623 | α 0.73 | cond(B) 4.273 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 285/5000 took 56.41s | ETA 01:29:51 | ∑L 0.028853044 | Lₜᵣ 0.028672483 | Lᵣ 0.0001805602 | Dₛₜₛₚ (GMM) 1.683 | Dₕ 0.377 | PE(20) 1.13083 | α 0.732 | cond(B) 4.299 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 290/5000 took 55.86s | ETA 01:15:05 | ∑L 0.027849304 | Lₜᵣ 0.02766765 | Lᵣ 0.00018165474 | Dₛₜₛₚ (GMM) 1.586 | Dₕ 0.377 | PE(20) 1.1420301 | α 0.733 | cond(B) 4.339 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 295/5000 took 55.93s | ETA 01:11:08 | ∑L 0.029167252 | Lₜᵣ 0.02898474 | Lᵣ 0.00018251072 | Dₛₜₛₚ (GMM) 1.798 | Dₕ 0.371 | PE(20) 1.1508713 | α 0.734 | cond(B) 4.371 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 300/5000 took 56.32s | ETA 01:09:40 | ∑L 0.027709119 | Lₜᵣ 0.027525548 | Lᵣ 0.00018357029 | Dₛₜₛₚ (GMM) 1.754 | Dₕ 0.379 | PE(20) 1.1329852 | α 0.735 | cond(B) 4.406 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 305/5000 took 55.22s | ETA 00:46:59 | ∑L 0.027547453 | Lₜᵣ 0.027362809 | Lᵣ 0.00018464398 | Dₛₜₛₚ (GMM) 1.536 | Dₕ 0.383 | PE(20) 1.1606923 | α 0.737 | cond(B) 4.493 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 310/5000 took 55.91s | ETA 00:51:28 | ∑L 0.027831996 | Lₜᵣ 0.027646367 | Lᵣ 0.00018562895 | Dₛₜₛₚ (GMM) 1.355 | Dₕ 0.36 | PE(20) 1.1369594 | α 0.738 | cond(B) 4.895 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 315/5000 took 56.03s | ETA 00:46:49 | ∑L 0.028615402 | Lₜᵣ 0.028428879 | Lᵣ 0.00018652284 | Dₛₜₛₚ (GMM) 1.456 | Dₕ 0.364 | PE(20) 1.1519395 | α 0.739 | cond(B) 4.714 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 320/5000 took 56.42s | ETA 00:49:35 | ∑L 0.027540468 | Lₜᵣ 0.027352978 | Lᵣ 0.00018748954 | Dₛₜₛₚ (GMM) 1.636 | Dₕ 0.381 | PE(20) 1.1445763 | α 0.741 | cond(B) 4.682 
