nohup: ignoring input
1
      From worker 2:	Running on 1 Julia thread(s) [BLAS threads: 1]
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 105/5000 took 58.57s | ETA 12:44:19 | ∑L 0.03139516 | Lₜᵣ 0.031299144 | Lᵣ 9.601629e-5 | Dₛₜₛₚ (GMM) 2.394 | Dₕ 0.404 | PE(20) 1.1081941 | α 0.605 | cond(B) 3.323 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 110/5000 took 61.14s | ETA 12:53:45 | ∑L 0.03308592 | Lₜᵣ 0.032987073 | Lᵣ 9.8847304e-5 | Dₛₜₛₚ (GMM) 1.568 | Dₕ 0.389 | PE(20) 1.1062192 | α 0.612 | cond(B) 3.281 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 115/5000 took 58.61s | ETA 11:44:31 | ∑L 0.031932797 | Lₜᵣ 0.03183118 | Lᵣ 0.00010161665 | Dₛₜₛₚ (GMM) 1.48 | Dₕ 0.368 | PE(20) 1.1006721 | α 0.617 | cond(B) 3.243 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 120/5000 took 58.75s | ETA 11:13:56 | ∑L 0.032118894 | Lₜᵣ 0.03201463 | Lᵣ 0.00010426465 | Dₛₜₛₚ (GMM) 1.756 | Dₕ 0.384 | PE(20) 1.1106712 | α 0.623 | cond(B) 3.209 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 125/5000 took 58.36s | ETA 10:41:09 | ∑L 0.03172749 | Lₜᵣ 0.0316206 | Lᵣ 0.000106889805 | Dₛₜₛₚ (GMM) 2.751 | Dₕ 0.402 | PE(20) 1.1635206 | α 0.629 | cond(B) 3.186 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 130/5000 took 58.63s | ETA 10:22:48 | ∑L 0.031435102 | Lₜᵣ 0.03132587 | Lᵣ 0.00010923137 | Dₛₜₛₚ (GMM) 1.519 | Dₕ 0.385 | PE(20) 1.1417387 | α 0.633 | cond(B) 3.169 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 135/5000 took 58.54s | ETA 09:56:26 | ∑L 0.03124802 | Lₜᵣ 0.03113642 | Lᵣ 0.00011159968 | Dₛₜₛₚ (GMM) 1.617 | Dₕ 0.387 | PE(20) 1.1424693 | α 0.637 | cond(B) 3.156 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 140/5000 took 58.68s | ETA 09:37:02 | ∑L 0.029980604 | Lₜᵣ 0.029866774 | Lᵣ 0.00011383048 | Dₛₜₛₚ (GMM) 2.035 | Dₕ 0.393 | PE(20) 1.1702476 | α 0.642 | cond(B) 3.146 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 145/5000 took 57.46s | ETA 08:57:09 | ∑L 0.031058395 | Lₜᵣ 0.030942347 | Lᵣ 0.00011604896 | Dₛₜₛₚ (GMM) 1.788 | Dₕ 0.4 | PE(20) 1.1836692 | α 0.645 | cond(B) 3.138 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 150/5000 took 58.5s | ETA 08:52:43 | ∑L 0.029104324 | Lₜᵣ 0.028986212 | Lᵣ 0.000118112075 | Dₛₜₛₚ (GMM) 2.383 | Dₕ 0.384 | PE(20) 1.1745206 | α 0.65 | cond(B) 3.137 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 155/5000 took 58.37s | ETA 08:33:54 | ∑L 0.028762085 | Lₜᵣ 0.028641988 | Lᵣ 0.00012009814 | Dₛₜₛₚ (GMM) 2.285 | Dₕ 0.408 | PE(20) 1.192793 | α 0.653 | cond(B) 3.142 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 160/5000 took 57.99s | ETA 08:11:36 | ∑L 0.0302077 | Lₜᵣ 0.030085605 | Lᵣ 0.00012209362 | Dₛₜₛₚ (GMM) 1.587 | Dₕ 0.385 | PE(20) 1.1889488 | α 0.656 | cond(B) 3.151 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 165/5000 took 58.34s | ETA 08:02:12 | ∑L 0.02742673 | Lₜᵣ 0.027302798 | Lᵣ 0.0001239337 | Dₛₜₛₚ (GMM) 1.752 | Dₕ 0.413 | PE(20) 1.1712794 | α 0.659 | cond(B) 3.165 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 170/5000 took 58.07s | ETA 07:47:58 | ∑L 0.029346522 | Lₜᵣ 0.029220875 | Lᵣ 0.00012564735 | Dₛₜₛₚ (GMM) 1.909 | Dₕ 0.401 | PE(20) 1.2070583 | α 0.662 | cond(B) 3.187 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 175/5000 took 60.43s | ETA 08:11:37 | ∑L 0.030092513 | Lₜᵣ 0.029965151 | Lᵣ 0.00012736296 | Dₛₜₛₚ (GMM) 1.972 | Dₕ 0.387 | PE(20) 1.1928138 | α 0.664 | cond(B) 3.213 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 180/5000 took 58.6s | ETA 07:34:54 | ∑L 0.028283117 | Lₜᵣ 0.028154109 | Lᵣ 0.00012900782 | Dₛₜₛₚ (GMM) 1.761 | Dₕ 0.389 | PE(20) 1.1963234 | α 0.667 | cond(B) 3.245 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 185/5000 took 57.77s | ETA 07:11:22 | ∑L 0.027042 | Lₜᵣ 0.026911546 | Lᵣ 0.00013045451 | Dₛₜₛₚ (GMM) 2.194 | Dₕ 0.401 | PE(20) 1.193051 | α 0.67 | cond(B) 3.28 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 190/5000 took 58.62s | ETA 07:13:59 | ∑L 0.028893573 | Lₜᵣ 0.028761666 | Lᵣ 0.0001319062 | Dₛₜₛₚ (GMM) 2.124 | Dₕ 0.398 | PE(20) 1.2025112 | α 0.672 | cond(B) 3.311 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 195/5000 took 58.62s | ETA 07:05:43 | ∑L 0.029837629 | Lₜᵣ 0.029704286 | Lᵣ 0.00013334317 | Dₛₜₛₚ (GMM) 1.905 | Dₕ 0.416 | PE(20) 1.206415 | α 0.674 | cond(B) 3.349 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 200/5000 took 58.86s | ETA 06:57:06 | ∑L 0.027138462 | Lₜᵣ 0.027003802 | Lᵣ 0.0001346606 | Dₛₜₛₚ (GMM) 2.185 | Dₕ 0.401 | PE(20) 1.2230489 | α 0.676 | cond(B) 3.396 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 205/5000 took 58.45s | ETA 06:42:03 | ∑L 0.029378965 | Lₜᵣ 0.029243007 | Lᵣ 0.0001359583 | Dₛₜₛₚ (GMM) 2.484 | Dₕ 0.421 | PE(20) 1.2387865 | α 0.679 | cond(B) 3.44 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 210/5000 took 58.14s | ETA 06:28:17 | ∑L 0.026635421 | Lₜᵣ 0.026498372 | Lᵣ 0.00013704953 | Dₛₜₛₚ (GMM) 2.066 | Dₕ 0.407 | PE(20) 1.1903452 | α 0.681 | cond(B) 3.483 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 215/5000 took 58.28s | ETA 06:26:03 | ∑L 0.029524388 | Lₜᵣ 0.02938604 | Lᵣ 0.00013834787 | Dₛₜₛₚ (GMM) 2.205 | Dₕ 0.391 | PE(20) 1.208304 | α 0.683 | cond(B) 3.529 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 220/5000 took 58.46s | ETA 06:20:57 | ∑L 0.027549287 | Lₜᵣ 0.027409678 | Lᵣ 0.00013960982 | Dₛₜₛₚ (GMM) 1.77 | Dₕ 0.399 | PE(20) 1.2101963 | α 0.685 | cond(B) 3.578 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 225/5000 took 62.36s | ETA 07:16:45 | ∑L 0.029351182 | Lₜᵣ 0.029210448 | Lᵣ 0.00014073358 | Dₛₜₛₚ (GMM) 1.548 | Dₕ 0.405 | PE(20) 1.1935852 | α 0.687 | cond(B) 3.636 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 230/5000 took 58.22s | ETA 06:06:24 | ∑L 0.028602164 | Lₜᵣ 0.0284603 | Lᵣ 0.00014186409 | Dₛₜₛₚ (GMM) 1.733 | Dₕ 0.414 | PE(20) 1.2107368 | α 0.69 | cond(B) 3.679 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 235/5000 took 66.31s | ETA 08:08:42 | ∑L 0.027349688 | Lₜᵣ 0.027206633 | Lᵣ 0.00014305483 | Dₛₜₛₚ (GMM) 1.838 | Dₕ 0.399 | PE(20) 1.2131065 | α 0.692 | cond(B) 3.724 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 240/5000 took 58.66s | ETA 06:23:36 | ∑L 0.027976265 | Lₜᵣ 0.027832147 | Lᵣ 0.00014411921 | Dₛₜₛₚ (GMM) 2.114 | Dₕ 0.398 | PE(20) 1.207921 | α 0.694 | cond(B) 3.772 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 245/5000 took 58.78s | ETA 06:24:21 | ∑L 0.027144073 | Lₜᵣ 0.026998766 | Lᵣ 0.00014530699 | Dₛₜₛₚ (GMM) 1.553 | Dₕ 0.41 | PE(20) 1.1961087 | α 0.695 | cond(B) 3.823 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 250/5000 took 59.04s | ETA 06:25:47 | ∑L 0.027077617 | Lₜᵣ 0.026931308 | Lᵣ 0.00014630819 | Dₛₜₛₚ (GMM) 1.994 | Dₕ 0.421 | PE(20) 1.2387512 | α 0.698 | cond(B) 3.878 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 255/5000 took 58.6s | ETA 06:16:10 | ∑L 0.02752078 | Lₜᵣ 0.02737344 | Lᵣ 0.00014733897 | Dₛₜₛₚ (GMM) 1.907 | Dₕ 0.407 | PE(20) 1.2081835 | α 0.7 | cond(B) 3.938 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 260/5000 took 58.62s | ETA 05:54:48 | ∑L 0.029859407 | Lₜᵣ 0.029711 | Lᵣ 0.0001484058 | Dₛₜₛₚ (GMM) 1.987 | Dₕ 0.408 | PE(20) 1.2036579 | α 0.702 | cond(B) 3.977 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 265/5000 took 58.76s | ETA 05:50:20 | ∑L 0.028451325 | Lₜᵣ 0.028301738 | Lᵣ 0.000149587 | Dₛₜₛₚ (GMM) 1.791 | Dₕ 0.396 | PE(20) 1.1950982 | α 0.703 | cond(B) 4.04 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 270/5000 took 57.99s | ETA 05:29:42 | ∑L 0.029273972 | Lₜᵣ 0.029123478 | Lᵣ 0.0001504941 | Dₛₜₛₚ (GMM) 1.931 | Dₕ 0.424 | PE(20) 1.2012908 | α 0.705 | cond(B) 4.091 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 275/5000 took 58.53s | ETA 05:29:09 | ∑L 0.026977092 | Lₜᵣ 0.026825678 | Lᵣ 0.0001514143 | Dₛₜₛₚ (GMM) 1.701 | Dₕ 0.419 | PE(20) 1.2116815 | α 0.706 | cond(B) 4.134 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 280/5000 took 58.47s | ETA 05:19:01 | ∑L 0.027208963 | Lₜᵣ 0.027056541 | Lᵣ 0.00015242217 | Dₛₜₛₚ (GMM) 1.904 | Dₕ 0.415 | PE(20) 1.1958177 | α 0.709 | cond(B) 4.191 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 285/5000 took 58.61s | ETA 05:12:52 | ∑L 0.02697044 | Lₜᵣ 0.026817022 | Lᵣ 0.00015341795 | Dₛₜₛₚ (GMM) 2.194 | Dₕ 0.419 | PE(20) 1.2339935 | α 0.71 | cond(B) 4.241 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 290/5000 took 58.7s | ETA 05:06:37 | ∑L 0.028131582 | Lₜᵣ 0.02797719 | Lᵣ 0.000154391 | Dₛₜₛₚ (GMM) 1.724 | Dₕ 0.398 | PE(20) 1.2194692 | α 0.712 | cond(B) 4.311 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 295/5000 took 57.55s | ETA 04:40:50 | ∑L 0.027768634 | Lₜᵣ 0.027613394 | Lᵣ 0.00015523967 | Dₛₜₛₚ (GMM) 1.616 | Dₕ 0.383 | PE(20) 1.2351675 | α 0.714 | cond(B) 4.401 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 300/5000 took 58.73s | ETA 04:51:15 | ∑L 0.02675338 | Lₜᵣ 0.02659719 | Lᵣ 0.00015619099 | Dₛₜₛₚ (GMM) 1.988 | Dₕ 0.408 | PE(20) 1.2189822 | α 0.716 | cond(B) 4.436 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 305/5000 took 58.83s | ETA 04:46:38 | ∑L 0.029307023 | Lₜᵣ 0.02915001 | Lᵣ 0.0001570143 | Dₛₜₛₚ (GMM) 2.528 | Dₕ 0.412 | PE(20) 1.2291763 | α 0.718 | cond(B) 4.499 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 310/5000 took 58.19s | ETA 04:29:52 | ∑L 0.026474427 | Lₜᵣ 0.026316551 | Lᵣ 0.00015787622 | Dₛₜₛₚ (GMM) 2.068 | Dₕ 0.416 | PE(20) 1.2200304 | α 0.719 | cond(B) 4.569 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 315/5000 took 58.66s | ETA 04:30:40 | ∑L 0.026860133 | Lₜᵣ 0.026701491 | Lᵣ 0.00015864192 | Dₛₜₛₚ (GMM) 2.0 | Dₕ 0.423 | PE(20) 1.2148331 | α 0.721 | cond(B) 4.645 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 320/5000 took 58.74s | ETA 04:26:19 | ∑L 0.028410055 | Lₜᵣ 0.028250253 | Lᵣ 0.00015980196 | Dₛₜₛₚ (GMM) 1.868 | Dₕ 0.388 | PE(20) 1.2398862 | α 0.722 | cond(B) 5.051 
